Time,Flap_lever,Position
0:10:41,0,8.61
0:10:42,0,8.61
0:10:43,0,8.61
0:10:44,0,8.61
0:10:45,0,8.61
0:10:46,0,8.61
0:10:47,0,8.61
0:10:48,0,8.61
0:10:49,1,17.99
0:10:50,5,47.01
0:10:51,5,76.15
0:10:52,5,105.35
0:10:53,5,134.55
0:10:54,5,163.75
0:10:55,5,193.04
0:10:56,5,222.27
0:10:57,5,250.33
0:10:58,5,255.45
0:10:59,5,261.18
0:11:00,5,264.54
0:11:01,5,264.54
0:11:02,5,264.54
0:11:03,5,264.54
0:11:04,5,264.54
0:11:05,5,264.54
0:11:06,5,264.54
0:11:07,5,264.54
0:11:08,5,264.54
0:11:09,5,264.54
0:11:10,5,264.54
0:11:11,5,264.54
